RA,r2_ra,mae_ra,rmse_ra,config,modelo
AGUA QUENTE,-0.32269974453104044,0.04832793439256861,0.15794736288386899,lag-only,RF
ARAPOANGA,-0.10620203718944499,1.0412627101575647,1.381760532783008,lag-only,RF
ARNIQUEIRA,-0.510885758963262,0.5966026319762258,0.8253047088749731,lag-only,RF
BRAZLÂNDIA,,0.008902488912592507,0.00890248891259251,lag-only,RF
CANDANGOLÂNDIA,,0.008902488912592507,0.00890248891259251,lag-only,RF
CEILÂNDIA,,0.008902488912592507,0.00890248891259251,lag-only,RF
CRUZEIRO,0.021558734360271448,1.1175759799673295,1.466572162023083,lag-only,RF
FERCAL,0.10343875675232694,0.8456528237261348,1.3551966502791515,lag-only,RF
GAMA,-0.026795321765169522,2.57578130744803,3.442701716970551,lag-only,RF
GUARÁ,,0.008902488912592507,0.00890248891259251,lag-only,RF
ITAPOÃ,,0.008902488912592507,0.00890248891259251,lag-only,RF
JARDIM BOTÂNICO,,0.008902488912592507,0.00890248891259251,lag-only,RF
LAGO NORTE,-0.7282449727063245,1.8132189720548502,2.2695506810872867,lag-only,RF
LAGO SUL,0.004027975839697051,1.2559096218815897,1.5810993160862457,lag-only,RF
NÚCLEO BANDEIRANTE,,0.008902488912592507,0.00890248891259251,lag-only,RF
PARANOÁ,,0.008902488912592507,0.00890248891259251,lag-only,RF
PARK WAY,-0.07848375634543903,0.4620088402049395,0.6119786294491847,lag-only,RF
PLANALTINA,0.26582196352438014,2.0495362624425004,2.7316774611306527,lag-only,RF
PLANO PILOTO,0.6365270325371915,2.70662712530221,3.4196358462801033,lag-only,RF
RECANTO DAS EMAS,-0.792593189989216,1.5092974950912672,1.8981796000978373,lag-only,RF
RIACHO FUNDO,0.49903938544409276,0.5619144457958997,0.7553944786368917,lag-only,RF
RIACHO FUNDO II,-0.2506807558690638,1.0214684398027465,1.429657117955432,lag-only,RF
SAMAMBAIA,-0.5427995575091886,1.7992559318686718,2.332079901076827,lag-only,RF
SANTA MARIA,0.1580517978301753,2.736734215744704,3.806243214476788,lag-only,RF
SCIA,,0.008902488912592507,0.00890248891259251,lag-only,RF
SIA,-0.32269974453104044,0.04832793439256861,0.15794736288386899,lag-only,RF
SOBRADINHO,0.03612564110224725,1.5808057897022434,2.147369960337795,lag-only,RF
SOBRADINHO II,-0.3203192760764755,2.013015572945272,2.685598510401382,lag-only,RF
SOL NASCENTE E POR DO SOL,,0.008902488912592507,0.00890248891259251,lag-only,RF
